库存SKU英文名称,库存SKU,库存总量
"Heart and Soul Patched Knit Sweater in White",T20171116016L-XL,61
"Wine Red Pleated Maxi Skirt",20130401012L-XL,6
"Wine Red Pleated Maxi Skirt",20130401012S-M,6
"Sweet Companion Two-Piece Smock Top in Black",T181230007S-M,1
"Key to My Heart Hand Knit Chunky Cardigan",T190102001L-XL,5
,YB,20
"Fancy with Bowknot Knit Top in White",T190131006S-M,3
"Fancy with Bowknot Knit Top in Pink",T190131008S-M,18
"Fancy with Bowknot Knit Top in Black",T190131009S-M,91
"Timeless Favorite Chiffon Maxi Skirt in Mustard",B190131025XL,11
"Timeless Favorite Chiffon Maxi Skirt in Mustard",B190131025L,4
"Timeless Favorite Chiffon Maxi Skirt in Mustard",B190131025S,6
"Timeless Favorite Chiffon Maxi Skirt in Mustard",B190131025XS,3
"Timeless Favorite Chiffon Maxi Skirt in Mustard",B190131025XXL,15
"Splendor of the Sunset Gradient Pleated Maxi Dress","D190202019Tall XS-S",7
"Tropical Floral Watercolor Maxi Skirt in White",B190304009XL,4
"Tropical Floral Watercolor Maxi Skirt in White",B190304009L,1
"Tropical Floral Watercolor Maxi Skirt in White",B190304009M,4
"Tropical Floral Watercolor Maxi Skirt in White",B190304009XS,4
"Tropical Floral Watercolor Maxi Skirt in White",B190304009S,4
"Leopard Watercolor Maxi Slip Dress in Brown",D190304010L,6
"Leopard Watercolor Maxi Slip Dress in Brown",D190304010M,1
"Leopard Watercolor Maxi Slip Dress in Brown",D190304010S,1
"Leopard Watercolor Maxi Slip Dress in Brown",D190304010XS,2
"Plum Blossom Watercolor Maxi Slip Dress in Wine",D190304011L,7
"Plum Blossom Watercolor Maxi Slip Dress in Wine",D190304011M,4
"Plum Blossom Watercolor Maxi Slip Dress in Wine",D190304011S,6
"Plum Blossom Watercolor Maxi Slip Dress in Wine",D190304011XS,5
"Tropical Floral Watercolor Maxi Slip Dress in White",D190304013XS,4
"Tropical Floral Watercolor Maxi Slip Dress in White",D190304013L,1
"Tropical Floral Watercolor Maxi Slip Dress in White",D190304013S,3
"Swing In the Breeze Organza Midi Skirt",B190308030XS,8
"Swing In the Breeze Organza Midi Skirt",B190308030XL,8
"Swing In the Breeze Organza Midi Skirt",B190308030L,22
"Swing In the Breeze Organza Midi Skirt",B190308030M,24
"Swing In the Breeze Organza Midi Skirt",B190308030S,7
"Glam Slam Pleated Midi Skirt in Navy",B190311001S-M,1
"Glam Slam Pleated Midi Skirt in Army Green",B190311002S-M,1
"My Secret Garden Tulle Maxi Skirt in Brown",B181206011L-XL,17
"Adorable Stripe Pleated A-Line Midi Skirt",B190316022XL,12
"Sleek Beauties Pleated Midi Skirt in Gold",B190328017S-M,1
"Timeless Favorite Chiffon Maxi Skirt in Mint",B190411004L,15
"Timeless Favorite Chiffon Maxi Skirt in Mint",B190411004M,18
